resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,average_speed,max_speed,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,average_heartrate,max_heartrate,average_cadence,start_lat,start_lng,end_lat,end_lng
2,cd,1155.1,415,415,0.0,Run,Run,0,13733478952,2025-02-26T16:03:11Z,2025-02-26T10:03:11Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,g21773405,2.783,3.64,False,False,False,230.2,219.2,14656445893.0,14656445893,4797EFC4-A1CF-4CA7-AE83-C86CE7B8671F-activity.fit,False,0,0,False,111510996,1,a13733478952,sw~yDx|asQId@@hEGn@@LQhAk@dCa@vDUTg@T,2,,,,,,,,,30.64,-97.66,30.64,-97.67
2,Tribal,10052.9,3448,3526,48.3,Run,Run,0,13751358548,2025-02-28T15:08:52Z,2025-02-28T09:08:52Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,3,2,3,0,False,False,False,False,everyone,False,,2.916,6.58,False,False,False,226.2,202.3,14675838890.0,14675838890,E8C2D2FB-89F5-4F1C-B46B-F3750B1B3A8F-activity.fit,False,0,0,False,111510996,1,a13751358548,gf`zDbpdsQLj@Dd@Ix@DZCLHB\MZDD@@NLI@`@DCDUXBXEV@LJ@LEhABBAh@D|@P\RLBNTH`@B?XHBBMAORg@Do@CaBIaAF]C_@B_ACYGW@UIU?KGcA@_@EmAKeAEIGkAYu@WYWg@Gk@WsAGi@Qk@SsAW[m@SeB[WIKK_@u@c@QSe@]a@q@]USSEYYeAm@QOMAGJe@QAHZNb@ZM?e@[cAzAOV?H\XR\P^Vr@DT~@rBVxAD^HRBn@X`@Df@BDB`AJl@FzACpABh@TtAJzAHXFxAJj@AHN^@RBBE`@BDBd@@DCd@Fl@Ab@DLf@p@N`@R|BMz@DV\f@@LMj@?ZIpAIp@KXe@r@e@h@GN?^Pd@Db@YDSLWRU^WNW\a@HWVe@JyACgBRwBAqBD[FUAQLB@LMT@VId@@nAI`B@rBOpBCtAk@fAiA~@o@BIIQKe@A_@LWp@s@Zs@F[Bs@Hk@Aq@L]@USa@OOEUNg@@YUeB?UOa@g@q@@eDUcAAi@GQEc@Ko@]mEGSIeB?mAYgD@QEQWg@Aa@UgAEB@HBEGWC]Qo@k@iAOc@E[i@oAo@s@@I\_@f@u@JKFAPN\JAGi@[UYh@PBICJG?YQG@BFz@p@E@g@_@I?cAxAO^h@d@n@zAB`@@zAFb@Zh@L|@A`@rA`BPd@P`CF|DNdAVpDN`ABf@PP@H?REFFRCFA\DX?hBJVNHNRRb@APLz@Fr@AXMV@V^l@DPAZKT@j@KrAG^KZ_AjAKXAVRbAADw@l@kAlAc@Le@\YF}A?sBPuEA]Hg@@WGW@KMi@UcAIYD_BCs@Qa@YMOWSq@KaB`@a@\K`@FC?ODKn@e@R?VKXC\@h@Nn@t@HDV@`@Hf@Cb@D\AHG~@JRFJLnARx@MZ@`@GDD^IjCB`AMdCAz@a@\E@EYDu@d@gA@ADDBLGj@AtAk@^Y\_@~@y@LG@KGOMi@@[DQd@k@Xg@Ri@Da@q]yNzZzLtALHi@?_@L_@?WGQWWCO?INe@QkCM_@_@m@I[I_DGg@EG@IAWGMW}BCgAQcBAQM{@@c@GW?oAKyAOaAWg@]]Qe@IGKFKRUr@?N?pGBlEFdBBpB,2,,,,,,,,,30.64,-97.68,30.64,-97.68
2,The Faster You Run The Faster You’re Done,16102.2,4573,4657,56.3,Run,Run,0,13762050879,2025-03-01T17:33:10Z,2025-03-01T11:33:10Z,(GMT-06:00) America/Chicago,-21600.0,,,,46,4,0,1,0,False,False,False,False,everyone,False,g20767877,3.521,6.34,False,False,False,141.0,130.7,14687455555.0,14687455555,459A7F40-7C74-4FE5-A5E4-95A03EFBBAB9-activity.fit,False,42,0,False,111510996,1,a13762050879,ixuwDb`ssQl@{Bb@aAx@iDfA_AN[h@yC`BkANgBv@kBLkAES`@{AVe@GWLa@r@cB`A_Al@gAbBs@l@aAdBD\Ob@k@bB_@hBW~AFfDk@jEKh@]RqAb@w@xEaCd@e@vCwBrAQ~BuCLUBm@d@_AF_Ap@q@^gAFkB~@wC~@mBT_CPMVHd@M@u@n@}@t@iB@c@IqCj@o@n@mBTuAj@iALq@z@iAXoApB{A`@sBx@wBHq@r@{B@e@SaAD[JWfAc@pAqDn@eIYkGH{A|@eAv@c@^e@hA{CXgAR_CdAmB`AwDAk@Qu@@cB[wEOo@_BeAkBFs@GwCaBiA}ADmAUUHy@oFoCoCs@kDa@uFEiGc@S|Gk@rAM|AWl@i@dBU|@MfAk@|ADThEfBzAnApBnAtAj@ZZd@pBfAnAHf@^t@~@h@z@RbCbDj@vCb@n@bAnGMl@UPq@Tq@Hg@tB@x@P`Ah@p@FXEXWd@Eb@oA~Aa@fC[rAa@x@EZmAnCETJv@YbBg@nBe@zA_BvCQhAc@~@aAjEQ^[pBa@|@I|Am@Z_@ZO`AO?QPNd@gAlCm@`@k@|@{@r@kBrCo@f@w@No@d@Qn@w@d@]l@i@TkA@YTyBZMLa@N}@Mw@f@MZmBRqA~@iCNsB]w@BuBt@a@Io@H_@X[p@Gj@QZApAYhA{@dAI\m@RWZuCnFW|@uBzCi@tB_ArBM|DYRBLe@jAc@|AKx@Yd@[|BS`@FNdATFNg@xBcAdDw@^Y|@UZq@\m@tAMx@Jb@@`@Ar@ORIr@@l@M\?t@{@lBJTAVuAnFq@rAeCtHoAlBe@zBmA|Bq@bCw@~Bg@`ALrAIfAi@~AWhBu@tBMfAe@pBq@bAKj@q@n@m@fBe@hAmBlC?\w@tAEd@w@~@ATUXm@\YWoBe@sAWm@j@eArB}BxCa@rABHv@j@l@H`@p@VNZbAl@?V`@X@tAv@XCf@i@L?GULMvA[bAq@fDeG|BiCnA_CxAcEb@{BLKRcBH[pAiC`@mAlAgGBo@h@mBb@y@Bc@t@{BlA{AZ@r@pA|CxHr@lALBnAu@i@cAa@eAUyAfA{@fBuF_Am@o@}@gCsBAMr@mA^uA,2,,,,,,,,,30.26,-97.75,30.26,-97.76
2,cd to 40,2807.1,1015,1023,13.4,Run,Run,0,13762224665,2025-03-01T19:03:46Z,2025-03-01T13:03:46Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,g20767877,2.766,4.98,False,False,False,140.0,131.5,14687646805.0,14687646805,06878DDA-35B4-4B10-AC78-CEE9CC4A4F1D-activity.fit,False,0,0,False,111510996,1,a13762224665,evuwDr{rsQRc@F]HS@UDUR[H[?KRUHOFED?JKRKLQDMFA?MDI?QJu@Pi@?EDAH@?EEG@GJGFALQ\SNSFCBICGAQNg@?WJY?CEA@CS\ITAPKZ?VAR]PSVQFBFABUBIDIXANED?LEV@TEJKNI^}@r@EF?JGFO\ORSnACXGNGXKLOb@GDGPOn@?FEPOTKb@@JIn@@REZSb@GFE@k@lAKn@AVCHCRBLMd@CpACh@Pv@PLHRCh@BPA\QRG?YPEAEJCBQB?FIHEPGH@JGLGf@EBAHEB@HORQp@MXEJBHGLQVAJBHQPITGHAJM`@CPEHId@ONINKXE\OPQ^[v@@JMZ?HIPFHP?,2,,,,,,,,,30.26,-97.75,30.26,-97.76
2,I’m loving zone 2,8859.4,2900,3071,27.7,Run,Run,0,13778229157,2025-03-03T15:12:35Z,2025-03-03T09:12:35Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,g20767885,3.055,5.34,False,False,False,212.2,202.3,14705153282.0,14705153282,073C658A-9E43-430F-A291-32EF209DE0D5-activity.fit,False,0,0,False,111510996,1,a13778229157,ag`zDjpdsQX\FXMl@@ZDNC`@@DJ@TMT?REFJPEBFCZHI?OBEPLREZARFBPCZDHGZAd@DZBp@LXZVBL^JTC?`@JABGCWLQDOB}@Ao@ESBg@EY@c@C]DqAGeAMI@]EaABq@Aq@WeBEy@Yw@q@iAAc@Si@Ce@]_BOcAISKKi@ScAYg@Ea@MS[O]c@Wc@u@o@c@aAg@SU[OuByA{@w@eAqA_@_@w@iAc@_@OWSQOWg@i@EUECCJJRd@f@j@|@LHdAnAT^pAlAdApAn@ZDHADGB[SGBBFz@l@GF[[OEG@cAvAK\BDND@DVZd@jADT@LA`@Bb@ANDn@P\BPRp@AJ|CtQL`ARdDRX@`@AFAVBDAr@Dh@CLDTCTBRDB?DPN`@n@CLLn@HlAOr@h@lACPK`@I~B[~@KLKTMPG@Wb@?h@DF?JBLFFBNCHUFUPOT]P[h@KFYBYPMLKBOBYE{@F]AwALo@CwA@w@Da@AQBOJi@AMGY@_@Ww@O]CYDc@Ew@BYESIWCIMs@m@a@Ia@?[HCCM?YFEJSLKBGF?FOb@GJOJYp@GBAFYXKFCHOHCXa@|@?d@DRGZGNE\BFLPFd@GxADl@H\HRZZ@HALB\GnA@`@HV?R^r@Rn@BTd@p@Tv@NRHT?j@Jt@@d@FROJCHQPG\J~@DJAR@^BDEx@BF@dAGz@DdAGr@]dBCn@EVMVId@GPsAdBi@jAUZMZG@CH]NQj@QT_@TKR@Lb@r@@DFB@GYk@CCGU?MNIDO\YFARe@RMR]?GLILQJ]LW?GL]h@q@TS`@g@Nk@VcCZiB?a@EO?i@Da@BkCKeBGm@@Qh@c@@MEMQ}AAw@MSW{@_@g@GOQaA]o@Oa@KaAL}@GYBQAMWYMYO{@Iq@@m@Gm@?g@FYLKBIEi@?MDa@HOJg@DG\YHCXg@L]PMNWJg@RIJQl@ILId@Cl@LdA~@f@HFDzCC\Bb@P`APr@?ZEdBCZ?FBDCDBZCl@FjAOdAEj@Df@En@_@TIV]L?PYDOVGn@g@NEBIWk@@GIe@@IJSf@k@`@{@PoAFw@Aa@@INUAOS[Um@Nq@AQCGE}@Iu@Wm@W]EMCc@AsBGeAIWM{@q@uGK}B?eBS_CIe@U]A]UwA,2,,,,,,,,,30.64,-97.68,30.65,-97.67
2,cd,2013.4,703,703,16.8,Run,Run,0,13778332960,2025-03-03T16:05:12Z,2025-03-03T10:05:12Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,g20767885,2.864,3.88,False,False,False,212.2,202.3,14705266842.0,14705266842,3E96FF64-4CAC-4162-B636-7FB15C88EDA4-activity.fit,False,0,0,False,111510996,1,a13778332960,mp`zDbncsQZ\^NTPp@ZRRXn@NJNFHJP`@LPNFZ@b@HNFf@JRLPDBBHBPN@P`@hBHn@DH@PJh@Hr@|@|ANd@ADRrBCLDZA\DX@^Dl@BHFnAF`@@n@G^?TCHJh@?^CPBRDrACL@JEFCTGLE^CBC@CI@OEKW?MEGGKSUSIOEg@?e@Eu@D_@BKGYMGo@DYCEBGNGYQ?GM[ECECWDMAEKQIaAEMOs@,2,,,,,,,,,30.65,-97.67,30.64,-97.68
2,Windy Miles with Strides,11286.4,3842,3959,53.0,Run,Run,0,13790634217,2025-03-04T20:14:23Z,2025-03-04T14:14:23Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,g20767866,2.938,6.18,False,False,False,231.3,202.3,14718525063.0,14718525063,217900A6-4ABE-4AC6-BA40-D3E8FAB1B4BE-activity.fit,False,0,0,False,111510996,1,a13790634217,wm`zDdpcsQy@a@wB}AMJ]O@Fz@h@AFk@[I?sArBn@v@l@vADl@ClANx@^fA@b@Z`@FTb@^Xt@PnBCl@DnBb@vDRnCVxA?NCFFPJ|@AbACLBLCHJd@`@b@Pd@@b@PvAOt@@Fb@|@BPOd@@h@EdAS`Am@~@c@d@GV@RTjA_Aj@EL[PMRKBGNg@P[^m@BcAE}BRkBGyAJ]C_@JiACg@Yq@KqAAi@Ea@Dw@S_Ay@QIuA@SJK?[J[^Od@ST[n@a@\OXSD[fBBv@QRGPDVHLFl@EN@j@@XJl@@d@DR`@l@A|@Gf@PtAb@bAPz@d@r@Rd@DVPZDTFxAFZAXa@j@AJBr@L~AEfABn@KlAHt@A`@[|AOjB]nAa@\}@nAeAzBa@Xo@dA]XATDJ`@v@EF[Po@~@Mf@C\@tAOf@MNIVKNEVKb@?fAIl@Jp@E|@DLHFEl@GHJZ@TIZAbAY`@?VHbAm@z@[FEFEXSXSP_@FWRKRARGN]R[BMj@]f@Ab@}A|Aw@wA[w@Wa@cA_CaAuA}@}AMI[u@?QdB_Bx@gAt@w@`@Wd@QpA[pAIzBPTJDHNd@JlAAj@GP@VIVQVeBfA_@f@sAlA_AxAO`@s@tA@L\z@dApBJCxGwHPYn@m@l@iAj@oDFgAAkAWsBCu@FyANs@Pi@Z[DMOo@HUCo@P}@Zg@t@u@i@y@AQp@m@^u@NCX]Zg@X_A`BaCZcATkB\_BGkBJw@CiADw@UuCDOb@e@BOIkAGSGaAU_@W{@_@e@SaAk@kAMgAJo@Ge@DS[g@U}@ImAEgABs@EQFQLIES?a@Jk@Pk@VSHYb@c@JUd@m@He@FG\YfA[TAh@Ld@`@HP^LV?j@NvAAhAFVDb@R`@FDD@RDF\XKa@h@[fACZGtB?tBOhB?ZE^Wd@QZ_@l@e@FONE`@]BKIQKg@Be@fAyATk@R{BAa@JS?SEQYg@ESNi@@SWeCO]g@y@CgDGc@KO@]O{@g@{FG]G{@EcDY{CEUSWCg@m@wCg@gAs@uBYm@QSDABBz@pBDv@Ct@@`@N^Z`@FTIpAILU~@BjJ@xAFvAD`D\JhJAPEHK?W,2,,,,,,,,,30.64,-97.67,30.64,-97.68
2,Didn’t Cha Know,11590.9,3124,3124,51.3,Run,Run,0,13797015564,2025-03-05T15:08:27Z,2025-03-05T09:08:27Z,(GMT-06:00) America/Chicago,-21600.0,,,,1,3,0,1,0,False,False,False,False,everyone,False,g20767877,3.71,5.9,False,False,False,233.6,202.3,14725441161.0,14725441161,B49AE71A-6B29-427E-BE1B-B6097000B8DF-activity.fit,False,0,1,False,111510996,1,a13797015564,ef`zDxsdsQAz@DD~@ID@DNLC@XRWXDj@AJFBJG`@BPAd@Bz@Hj@h@r@n@LBBBXFE@[L[D{@AyBGo@BgBQkCI_COiCOcAeAiBA[Mg@OkAs@aDeBm@yAUc@u@m@_@KYY]oBiAw@u@{B{AAGJIRDPKHQdBc@JEHOv@Wx@M~CcA`@]^Gh@Y~@MXUtA]^DZGhA@xFH\?PGjADpGElBEFI@}@VYlI_Cv@K`FELBd@EXMdAGdDA|@LDkBEo@?wGCWE{I]sDa@eCk@}BOEuBh@k@d@kA^oCv@o@ZiAhA]lAIDSx@C`BFpAIlA@VMx@g@dBUfB?VS~@AVLr@a@`ACb@NpAGNw@Hm@X[BOJ_@Ba@NGLARDf@H\EJc@EwDFu@EaAFeBKc@JaA@iCAoBIkBDaAZg@Vu@Lm@Xe@HQXi@RcCr@a@DgAVc@\gAZi@`@e@LBN~@l@CJEAc@S?Fl@b@NN@HKCi@]oAdBAR^^Xb@Xt@Pp@|@pBPpARp@@t@Zd@Bn@RdBAzAFhBFt@HVB|@Ln@P`CHd@Vv@EZFj@A~A@d@J^XVZr@?l@JTBbAO`@@VZf@JZOh@@l@Mz@BTGb@Uf@OLOZe@h@Cf@Rj@A\UFQT]PQXUJQ\a@Hi@b@_@@a@Ee@Ds@Ak@Jc@BgAEgCDq@FWF{@KYWu@KqBBs@G]QUC_Ay@m@GqALo@^Mn@_@`@K^q@j@Q\IDMn@MVC^@TQp@BLENFZFBDZGb@BHC\@^J|@Nd@RNJRIRDXEz@H|@Nf@`@x@AZf@|@Jd@Xp@LFDT@hAJn@@^m@j@d@a@HSCeAK{@BMOm@S_@GYk@}@Os@a@w@I_@I]Co@DU?iAU_@Qi@UcBD[KeAB}@LKFSI]B]H]Tm@x@{@Pi@h@k@BULSj@a@z@OT?j@JjAhAv@Lj@G`@Dl@I|@Nz@^LC^J`AOPBl@I~AAl@DdDUf@F\EPOdAa@b@]Ze@LE^a@TK@IKSOaAJW^e@r@oAReCAYLy@[k@GW@MHU?e@A[GS?a@Ie@m@gAGWAy@Bk@G]Cq@Eo@a@wBa@_FI[EmD]}DYm@B_@[cAMy@q@cB,2,,,,,,,,,30.64,-97.68,30.65,-97.67
2,cd,2093.8,647,647,10.4,Run,Run,0,13797123263,2025-03-05T16:03:05Z,2025-03-05T10:03:05Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,g20767877,3.236,5.02,False,False,False,212.2,204.8,14725556214.0,14725556214,8B1654DD-650D-4A3F-836A-B128C3D2C9C7-activity.fit,False,0,0,False,111510996,1,a13797123263,oq`zDlmcsQd@X\ZNBHH`@P\VLFV\N\FFXLN^V\NHl@DbAZ^F\TJNRtAL\Fl@VxAFn@x@pAJVVhCFrB@D?TJn@Dt@Fb@?r@@LC\EdBJx@@jAEl@Qd@?TE?GIDUGEMFG?OQOIAMKGSWG}BGSFo@EOIGEA]Fe@AEDELE[QBAIB_@@s@KQE@EAKg@Ta@NKJMEc@KY,2,,,,,,,,,30.65,-97.67,30.64,-97.68
2,WHO YOU FOOLIN,11068.8,3609,3720,60.3,Run,Run,0,13815292846,2025-03-07T15:04:49Z,2025-03-07T09:04:49Z,(GMT-06:00) America/Chicago,-21600.0,,,,0,2,0,2,0,False,False,False,False,everyone,False,g20767866,3.067,7.62,False,False,False,223.4,202.3,14745218951.0,14745218951,6E4D3581-7016-40A1-9EDA-BE70FACCDF41-activity.fit,False,0,0,False,111510996,1,a13815292846,cf`zDtodsQDf@AZGNC\Av@FZN@VKb@@DDADBDDGD@?TDDLWXDj@EJDDLG|ADVAPDr@j@x@ZJT@BVF@DYRc@Bu@IiD@EC_@Di@?_@GkAI[?]E_BGeAKo@GkAIg@aA_B]SMe@No@?GMaAOi@UoAMSw@[_Cc@UWK[q@i@GQS[uA}@]M_@_@eCeBQO?Ib@A^]rA]`@[pA_@P?vAg@|@S`@SNSh@Ix@]d@G^WjA[d@@jI@t@EvM?FIAO[wACe@UoAAu@d@Iz@YVWDMo@yCW}@e@kCS{@GI}@ViAd@DvAP|AVh@DX@V^nABPALLZF`@Ph@Dh@HP^hAT~A}IH{BGaBFyFKoAD{@Tk@Zq@Ja@LKLk@JW^yCz@yB^]ZmAZc@`@c@NCFDLj@\HJ@FKDWQG@?Dz@p@I?e@_@KHYh@s@`A@FVRRXl@~AFx@Cp@@^\p@Nh@@VETBZVENn@d@`@Tn@NjBBrBAXDh@?RHV@XFb@?VJj@AJPz@ALF\Fr@?TPV@JAZDf@Cf@@x@DTAZHTj@r@FVAJVnBQz@d@dABTM\@z@WpB_A~AKHIR?XCFPx@?Pm@T[X]d@KDSVSBo@f@]DiAGkADe@NaCGiAF_@E_@Lo@@QGU@[U_@OK@c@GsC?g@QgA}@UGc@CyAZFGj@ATIb@?p@V^b@XPr@N`CEp@Dr@Zz@JzDO|ADtAQLD@FGNkADSCCKFGhBKjB@`@MRQr@UbAeA|@u@BGWaAAUN]~@kANe@N}AB_AJ]?OCK[]GS?QHODa@SgCIS_@c@KYCgCEk@G[Ey@EAMy@GaAm@mFEmABG?aA[cE[m@Cc@m@{Cs@}AOm@q@yAg@i@CIvAkBHAb@VF?m@c@QSf@PDCAMe@Y{@u@yEoFy@iAfDdEvA|AT\`Ax@vAx@dAz@p@Xb@X\\Tf@p@d@\n@jAPt@Rp@VRPFRb@zB@TVrAFp@`AbBJn@?VFh@JhBARN|ADbAJ^EjA@bADPId@DJARDj@?|@C`@M\G^II@YO?YGO[]_@MqEMIc@Fe@AGRGG?OQ?DaAEa@IYKC[e@\Q@F`@?F[?_@CG,2,,,,,,,,,30.64,-97.68,30.64,-97.68
2,Break Stuff,21137.1,5817,5817,110.1,Run,Run,0,13826498331,2025-03-08T17:07:17Z,2025-03-08T11:07:17Z,(GMT-06:00) America/Chicago,-21600.0,,,,3,2,0,1,0,False,False,False,False,everyone,False,g21773405,3.634,5.62,False,False,False,236.3,202.3,14757392018.0,14757392018,CCDEB445-94EF-4129-AB96-CFC1ED900B20-activity.fit,False,1,1,False,111510996,1,a13826498331,yc_zDhhbsQK[KCcC`ApDlPf@`@\F|FoBHS`AKlB?n@HbJWdCNIwWq@oGs@_DGSO?qBb@u@f@oF~Ac@XcAtA]hAOnADxBKhCy@|DYtB?p@_@f@qAn@]vAAlAQh@uAn@CNPpAqKJwNEiD`A{@Vi@f@s@TyEhAWX_Bf@_Ah@?Nx@l@EJ]SMDp@\RXo@a@wApBALz@`AdBrEd@`CF|@VV\pDFhETpA\tETtAM\V`@Ft@A`Bv@dBTrBKnAd@dAOx@GnBMt@yAxB@d@NbAYHsBlBsAj@wBCkEHqDV{Bm@yDEi@QeA_Aa@IoAJ{@j@Kd@_AxA_@Xw@fB@zAQR?v@HVGPLr@FtBh@v@Bp@Ix@PdAdAfD|@jBRdCJRs@jAXhDM|CFfBa@pBIlAa@tAeAlAaAvBoBjC_@V?Rj@hAc@Nm@dAS`A?dBgAhCDl@IzAF`BHVMx@Nl@O`@Dv@_@h@H`Bm@t@YHGb@STgAf@]|@{@Vg@pA@^_JfKcBdBaJzFqGsEo@UsBSg@u@q@qC@MPK`BIt@g@`@AzBiAfDaDbBgDAQqB~DiDvCyDhB}ANa@VANTZRrA^~@\VzCl@rGnElJeGhI}JjEaFhDoDZk@|@mG?eA_@oCF}BZoAf@q@Ko@LyB`@s@v@o@a@s@Ge@h@a@f@cAj@c@h@aALi@zAsB\{@p@eFGmAN}DWsCD]`@c@GiBKaAkAaC]uA]k@Q{ABsADUe@s@SmAAgBG[GGJ}@PYC}@Nq@zBeDVq@d@a@zAQf@Hp@p@p@XrDDjCp@bAMdBKdCH|ASpCINS|@]l@w@ZOd@a@BU[{Ar@y@l@iANaDNm@i@eAN_AO{Bw@qACmC[iBk@cHUeBAsC[oDKe@UQ?q@s@kDiBqEq@q@rAkBl@Hq@g@AId@NHI{@m@?Q`@GnBy@n@e@pB_@lCy@^e@|@WlAQtBu@x@EpLNjKGBOWaAFUbJmCtFWjHGjCRMkADcCGkBEkN_@wD}@sEWk@gCb@wGhCyAxAo@pBMrBFfCG`Ay@rD]pDc@n@iAh@o@vCF^IZgA`@SRNvA{IHiPEuFdB[^mG`BcEdBgFyF}AqBAMK@rIxJbHvEn@~@h@\^r@VHCKUA[k@kAuAsBgAqDwCDQ\@X]fA],2,,,,,,,,,30.64,-97.67,30.64,-97.67
2,War Pigs,10221.8,2829,2829,50.5,Run,Run,0,13843007158,2025-03-10T14:06:15Z,2025-03-10T09:06:15Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,4,0,1,0,False,False,False,False,everyone,False,g20767877,3.613,6.08,False,False,False,233.6,202.3,14775420700.0,14775420700,9C071891-6A8A-4BF0-A211-E4012A18C02D-activity.fit,False,0,0,False,111510996,1,a13843007158,gf`zD`sdsQA`@DXXDn@P?HTBATHCFSTDj@ELBFP@`DDh@`@`@BH^LR@BDAVD@FEASTk@Fu@GkA@o@Ia@BG?m@D]CcAWwC?y@E{@Ia@S_CgAsBAg@Qm@Gk@UaASsAMWKGkBi@eAOa@y@m@e@MY[_@gB}@UWcD{B?Kf@Cp@e@~@UXWt@SBEr@ITMtCs@HKLWh@C^W~@Qd@W|@U`@ARDVIl@?nBFtBBdAGrABfCGfBAFDt@@PGlA@JMMQC]BSNSzEqAVYVCVKLS|@IDRRONC^Bx@IDHT@RGXDhAKhBBxAG\Df@CJDp@?ZDFFPQQu@BIEm@@wACMBoAC{@Bm@CMBu@C[?{@CEBkDCgAg@oEUeAIk@c@iBKMy@H_AZSPi@VK?m@RgATgA\{@d@q@~@MHEPIHOj@IHEj@GJEtABhBAVIJ?nAEVILATITIh@Q`@Ab@Qp@@\Ox@Af@[Vy@RSLEHCPSp@BTG\ATKLFL@XS\_@B[PKN@`@Jd@CFs@LsDBq@C_ADqAKqBJiBEe@DOEu@CMB{@EQFq@EsA^WReAR]TYBSLSXi@JoAf@q@P_BRo@h@y@Pc@XMLa@FCFCH|@b@HH@JU@QOK?DF|@l@q@]G@y@jAUf@@F`@^j@hA`@vA`@v@T~@Dd@R|@Dp@RVHLRnBAVBDDb@Cx@BL?zA\~BADHb@Ab@FLH~@?NNhA?TNb@CHFp@C`@D\@pADPFBJRXZHTETJZJlA?LOh@?Jh@bA?ROV?t@S|BKTcAlAIRA^J\Dn@YHORQFMVi@ZCPc@HIFCJ[Na@FkBEgBT[Ge@?sBH_@AYH{@Be@Uw@Q{@I_@Bk@Gy@@]I[Qe@a@a@QQEYFe@CKFS@q@f@Id@_@h@GTo@r@IP[PDH?HDA`@u@^[Vi@T]FGLe@FIp@_@TARKf@A\FlA`AXBPH^ARHfBADDf@Dh@Rn@HtBOlDBr@CTIl@CxA@^KZUn@S`@e@XQ\e@l@[@MMQEMGc@?MJUZa@L[Z]J[R{BCa@JUD[EOYa@K]F[DCB_@M{@IoA_@q@GAISG_C?m@CSEE?_@QUGo@@GM_BGe@CGGiAUgBCaCKeBSoBEOOQCk@UcA,2,,,,,,,,,30.64,-97.68,30.65,-97.67
2,cd,1617.3,496,496,10.5,Run,Run,0,13843068966,2025-03-10T14:56:06Z,2025-03-10T09:56:06Z,(GMT-06:00) America/Chicago,-18000.0,,,,0,3,0,1,0,False,False,False,False,everyone,False,g20767877,3.261,5.0,False,False,False,213.7,202.8,14775488043.0,14775488043,5FA65770-6BFA-4DFC-90BC-B16EFE851BA8-activity.fit,False,0,0,False,111510996,1,a13843068966,ct`zD~xcsQLn@ADTh@Nr@CXENGBE\O`@BP?f@A^@p@CDBRAd@BPAZCRDp@EVD^Cf@D^?f@Bh@Af@BR@vBVBFHh@@VCDB`@@DCJ?XBZAPBlA?ZAPCPBr@IDI@GCQBkAC[BMAE?k@GI,2,,,,,,,,,30.65,-97.67,30.64,-97.68
